REGEX,ENDING,AUX,PPRÉSENT,PPASSÉ,PRÉSENT,IMPARFAIT,PASSÉ,FUTUR,SPRÉSENT,SIMPARFAIT,IMPÉRATIF,CONDITION,INFINITIF
.*dire,ire,avoir,isant,it,"is,is,it,isons,ites,isent","isais,isais,isait,isions,isiez,isaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","ise,ises,ise,isions,isiez,isent","isse,isses,ît,issions,issiez,issent",",is,,isons,ites,","irais,irais,irait,irions,iriez,iraient",ire
.*faire,aire,avoir,aisant,ait,"ais,ais,ait,aisons,aites,ont","aisais,aisais,aisait,aisions,aisiez,aisaient","is,is,it,îmes,îtes,irent","erai,eras,era,erons,erez,eront","asse,asses,asse,assions,assiez,assent","isse,isses,ît,issions,issiez,issent",",ais,,aisons,aites,","erais,erais,erait,erions,eriez,eraient",aire
.*foutre,tre,avoir,tant,tu,"s,s,t,tons,tez,tent","tais,tais,tait,tions,tiez,taient",",,,,,","trai,tras,tra,trons,trez,tront","te,tes,te,tions,tiez,tent",",,,,,",",s,,tons,tez,","trais,trais,trait,trions,triez,traient",tre
.*lire,ire,avoir,isant,u,"is,is,it,isons,isez,isent","isais,isais,isait,isions,isiez,isaient","us,us,ut,ûmes,ûtes,urent","irai,iras,ira,irons,irez,iront","ise,ises,ise,isions,isiez,isent","usse,usses,ût,ussions,ussiez,ussent",",is,,isons,isez,","irais,irais,irait,irions,iriez,iraient",ire
.*luire,ire,avoir,isant,i,"is,is,it,isons,isez,isent","isais,isais,isait,isions,isiez,isaient","isis|is,isis|is,isit|it,isîmes|îmes,isîtes|îtes,isirent|irent","irai,iras,ira,irons,irez,iront","ise,ises,ise,isions,isiez,isent","isisse,isisses,isît,isissions,isissiez,isissent",",is,,isons,isez,","irais,irais,irait,irions,iriez,iraient",ire
.*mettre,ettre,avoir,ettant,is,"ets,ets,et,ettons,ettez,ettent","ettais,ettais,ettait,ettions,ettiez,ettaient","is,is,it,îmes,îtes,irent","ettrai,ettras,ettra,ettrons,ettrez,ettront","ette,ettes,ette,ettions,ettiez,ettent","isse,isses,ît,issions,issiez,issent",",ets,,ettons,ettez,","ettrais,ettrais,ettrait,ettrions,ettriez,ettraient",ettre
.*moudre,dre,avoir,lant,lu,"ds,ds,d,lons,lez,lent","lais,lais,lait,lions,liez,laient","lus,lus,lut,lûmes,lûtes,lurent","drai,dras,dra,drons,drez,dront","le,les,le,lions,liez,lent","lusse,lusses,lût,lussions,lussiez,lussent",",ds,,lons,lez,","drais,drais,drait,drions,driez,draient",dre
.*naître,aître,être,aissant,é,"ais,ais,aît,aissons,aissez,aissent","aissais,aissais,aissait,aissions,aissiez,aissaient","aquis,aquis,aquit,aquîmes,aquîtes,aquirent","aîtrai,aîtras,aîtra,aîtrons,aîtrez,aîtront","aisse,aisses,aisse,aissions,aissiez,aissent","aquisse,aquisses,aquît,aquissions,aquissiez,aquissent",",ais,,aissons,aissez,","aîtrais,aîtrais,aîtrait,aîtrions,aîtriez,aîtraient",aître
.*oindre,ndre,avoir,gnant,nt,"ns,ns,nt,gnons,gnez,gnent","gnais,gnais,gnait,gnions,gniez,gnaient","gnis,gnis,gnit,gnîmes,gnîtes,gnirent","ndrai,ndras,ndra,ndrons,ndrez,ndront","gne,gnes,gne,gnions,gniez,gnent","gnisse,gnisses,gnît,gnissions,gnissiez,gnissent",",ns,,gnons,gnez,","ndrais,ndrais,ndrait,ndrions,ndriez,ndraient",ndre
.*ompre,pre,avoir,pant,pu,"ps,ps,pt,pons,pez,pent","pais,pais,pait,pions,piez,paient","pis,pis,pit,pîmes,pîtes,pirent","prai,pras,pra,prons,prez,pront","pe,pes,pe,pions,piez,pent","pisse,pisses,pît,pissions,pissiez,pissent",",ps,,pons,pez,","prais,prais,prait,prions,priez,praient",pre
.*oître,oître,avoir,oissant,u,"ois,ois,oît,oissons,oissez,oissent","oissais,oissais,oissait,oissions,oissiez,oissaient","us,us,ut,ûmes,ûtes,urent","oîtrai,oîtras,oîtra,oîtrons,oîtrez,oîtront","oisse,oisses,oisse,oissions,oissiez,oissent","usse,usses,ût,ussions,ussiez,ussent",",ois,,oissons,oissez,","oîtrais,oîtrais,oîtrait,oîtrions,oîtriez,oîtraient",oître
.*plaire,aire,avoir,aisant,u,"ais,ais,aît|ait,aisons,aisez,aisent","aisais,aisais,aisait,aisions,aisiez,aisaient","us,us,ut,ûmes,ûtes,urent","airai,airas,aira,airons,airez,airont","aise,aises,aise,aisions,aisiez,aisent","usse,usses,ût,ussions,ussiez,ussent",",ais,,aisons,aisez,","airais,airais,airait,airions,airiez,airaient",aire
.*raire,ire,avoir,yant,it,"is,is,it,yons,yez,ient","yais,yais,yait,yions,yiez,yaient",",,,,,","irai,iras,ira,irons,irez,iront","ie,ies,ie,yions,yiez,ient",",,,,,",",is,,yons,yez,","irais,irais,irait,irions,iriez,iraient",ire
.*rire,ire,avoir,iant,i,"is,is,it,ions,iez,ient","iais,iais,iait,iions,iiez,iaient","is,is,it,îmes,îtes,irent","irai,iras,ira,irons,irez,iront","ie,ies,ie,iions,iiez,ient","isse,isses,ît,issions,issiez,issent",",is,,ions,iez,","irais,irais,irait,irions,iriez,iraient",ire
.*soudre,udre,avoir,lvant,us|lu,"us,us,ut,lvons,lvez,lvent","lvais,lvais,lvait,lvions,lviez,lvaient",",,,,,","udrai,udras,udra,udrons,udrez,udront","lve,lves,lve,lvions,lviez,lvent",",,,,,",",us,,lvons,lvez,","udrais,udrais,udrait,udrions,udriez,udraient",udre
.*suivre,vre,avoir,vant,vi,"s,s,t,vons,vez,vent","vais,vais,vait,vions,viez,vaient","vis,vis,vit,vîmes,vîtes,virent","vrai,vras,vra,vrons,vrez,vront","ve,ves,ve,vions,viez,vent","visse,visses,vît,vissions,vissiez,vissent",",s,,vons,vez,","vrais,vrais,vrait,vrions,vriez,vraient",vre
.*uire,re,avoir,sant,t,"s,s,t,sons,sez,sent","sais,sais,sait,sions,siez,saient","sis,sis,sit,sîmes,sîtes,sirent","rai,ras,ra,rons,rez,ront","se,ses,se,sions,siez,sent","sisse,sisses,sît,sissions,sissiez,sissent",",s,,sons,sez,","rais,rais,rait,rions,riez,raient",re
.*vaincre,cre,avoir,quant,cu,"cs,cs,c,quons,quez,quent","quais,quais,quait,quions,quiez,quaient","quis,quis,quit,quîmes,quîtes,quirent","crai,cras,cra,crons,crez,cront","que,ques,que,quions,quiez,quent","quisse,quisses,quît,quissions,quissiez,quissent",",cs,,quons,quez,","crais,crais,crait,crions,criez,craient",cre
.*vivre,ivre,avoir,ivant,écu,"is,is,it,ivons,ivez,ivent","ivais,ivais,ivait,ivions,iviez,ivaient","écus,écus,écut,écûmes,écûtes,écurent","ivrai,ivras,ivra,ivrons,ivrez,ivront","ive,ives,ive,ivions,iviez,ivent","écusse,écusses,écût,écussions,écussiez,écussent",",is,,ivons,ivez,","ivrais,ivrais,ivrait,ivrions,ivriez,ivraient",ivre
